condition,rate_bpm,expected_hz,imu_peak_hz,imu_peak_bpm,delta_hz,abs_delta_hz
12/min,12,0.2,0.1953125,11.71875,-0.004687500000000011,0.004687500000000011
9/min,9,0.15,0.146484375,8.7890625,-0.0035156249999999944,0.0035156249999999944
6/min,6,0.1,0.09765625,5.859375,-0.0023437500000000056,0.0023437500000000056
5/min,5,0.08333333333333333,0.08544921875,5.126953125,0.0021158854166666713,0.0021158854166666713
3/min,3,0.05,0.048828125,2.9296875,-0.0011718750000000028,0.0011718750000000028
