condition,rate_bpm,peak_xcorr_r,optimal_lag_s,coherence_Cxy,zero_lag_r
12/min,12,0.3669538673188736,-2.0,0.22134021661027295,-0.35700591961412026
9/min,9,0.8612470342977147,1.56,0.8527351560490019,0.08331592870579667
6/min,6,0.7602599209828277,1.64,0.6906021689916474,0.3947711371491311
5/min,5,0.9362037657660909,1.0,0.8893869491646417,0.8056308020175106
3/min,3,0.8917138798025046,-0.32,0.8289209369914031,0.8874529586755668
