metric,scipy,NK2,abs_delta,rel_delta_pct
Mean RR (ms),1116.9402985074628,1117.9026217228463,0.9623232153835488,0.08611998692815312
Mean HR (bpm),54.022920764743816,53.67193781827929,0.35098294646452644,0.6518100326840579
SDNN (ms),81.53919681440959,79.88510236312459,1.6540944512850047,2.049374796375401
RMSSD (ms),99.13196289500037,96.45139802227403,2.680564872726336,2.7410970546314832
pNN50 (%),62.172284644194754,60.67415730337079,1.498127340823963,2.439024390243891
LF/HF (ratio),0.278508612950008,0.2685177336645281,0.009990879285479926,3.652796377107603
