Segment,Range (s),n_beats,Mean HR (bpm),Min HR (bpm),Max HR (bpm),RMSSD (ms),HR slope (bpm/s),Motion RMS (g),Note,Recovery τ (s)
seated,0-60,60,60.84473038752776,55.35055350553505,73.34963325183374,54.396535283485264,-0.05460495289323227,0.036089029556477546,,
walking,60-120,82,83.04728504981964,60.120240480961925,96.46302250803859,41.06062966689594,-0.11952127720345952,0.10327920329508629,**UNRELIABLE (motion)**,
recovery,120-180,70,70.28436030024788,60.483870967741936,86.20689655172414,46.87263037488796,-0.13404711494258564,0.041697415605852585,,6.8
E1B anchor,300 (5 min),279,56.097249521368134,49.18032786885246,71.09004739336493,61.126946571232416,,,seated reference,
