Condition,HF E1B (ms²),HF hold pooled (ms²),HF hold SD (ms²),HF hold ratio (E1B/hold),HF recovery pooled (ms²),HF recovery SD (ms²),HF recovery ratio (rec/E1B)
Inspiratory,1123.3941245335911,95.06128919574626,16.015194002222852,11.817577207693288,1556.8465119310201,587.3474380514107,1.3858417788836033
Expiratory,1123.3941245335911,391.0921669971792,238.84279439408633,2.8724536550017215,1951.5774120389592,821.0744082079065,1.7372152563546759
