Condition,Expected rate (Hz),Expected rate (/min),Measured RR peak (Hz),Peak deviation (Hz),Peak within tolerance,EDR Welch peak (Hz),EDR rate (/min),Mean HR (bpm),SDNN (ms),RMSSD (ms),Total Power (ms²),LF (ms²),HF (ms²),LF_nu (%),HF_nu (%),LF/HF,RR p95-p5 (ms),NK2 P2T Mean (ms),NK2 P2T SD (ms),Porges-Bohrer
E4A_12pm,0.2,12.0,0.203125,0.003124999999999989,True,0.2,12.099938307971009,59.399791728550895,48.68231271476216,47.73867909234064,1754.4770323240923,279.26500516249513,1241.5809725495822,18.362477808740007,81.63752219126,0.22492693697538343,156.5,90.0952380952381,39.40274196464216,-5.237375122343735
E4A_9pm,0.15,9.0,0.1484375,0.0015624999999999944,True,0.15,9.004668827093054,57.01513202115707,77.9855937071229,64.87897620491601,2381.114358249418,953.085854338076,1129.7749106600659,45.75850053706909,54.24149946293092,0.8436068506612879,239.5,156.58064516129033,35.28623357018842,-5.313646818229575
E4A_6pm,0.1,6.0,0.1015625,0.0015624999999999944,True,0.1,6.637838957627345,60.14870328363835,91.26485495320784,60.43574490872774,6085.195978979111,5469.259953421673,473.68561436381566,92.02944719986179,7.970552800138205,11.546181238303326,292.80000000000007,193.0,78.28336805660392,-5.838741917373692
E4A_5pm,0.08333333333333333,5.0,0.0859375,0.0026041666666666713,True,0.16666666666666666,9.150153265617275,59.885643073334755,95.92888911330651,53.94149780257483,8240.415176942324,7634.20647056674,437.4798292131099,94.58006898477903,5.419931015220969,17.450419335442966,296.79999999999995,138.0,122.65661482892116,-5.93706061963178
E4A_3pm,0.05,3.0,0.046875,0.0031250000000000028,True,0.15,8.374642088548242,58.13562961919379,131.38063874558063,55.24245017997294,10493.61935727293,8980.006786349551,514.2101275595372,94.58396482593297,5.4160351740670265,17.463691018628978,405.5,114.27777777777777,110.74929502803325,-5.75985335193754
