Condition,Posture,Mean HR (bpm),Mean RR (ms),SDNN (ms),RMSSD (ms),pNN50 (%),Total Power (ms²),VLF (ms²),LF (ms²),HF (ms²),LF (n.u.),HF (n.u.),LF/HF,HF peak (Hz),n peaks (NK2),Artifact rate (%)
E1A,Supine,54.022920764743816,1116.9402985074628,81.53919681440959,99.13196289500037,62.172284644194754,4325.934479342681,162.09085102206294,907.0461487064294,3256.797479614188,21.78386677484966,78.21613322515034,0.278508612950008,0.21875,268,0.3731343283582089
E1B,Sitting,56.097249521368134,1072.6236559139784,56.61683291495584,61.126946571232416,43.52517985611511,2017.1847345101878,292.78684061890317,601.0037693576934,1123.3941245335911,34.85296354668268,65.14703645331731,0.5349892404032441,0.28125,279,0.0
E1C,Standing,79.67737749405762,755.2676767676768,41.790787739708655,25.19393135688017,2.7848101265822782,1047.8949547580246,289.08095907890123,447.93019700277915,310.88379867634427,59.030302492232046,40.969697507767954,1.4408283703105143,0.296875,396,0.0
