metric,scipy,NK2,abs_delta,rel_delta_pct
Mean RR (ms),1140.9312977099237,1140.8625954198474,0.06870229007631679,0.006021778766537309
Mean HR (bpm),52.95827349947825,52.591784708236034,0.3664887912422188,0.6944359813066089
SDNN (ms),93.95810518582344,92.89158706808307,1.0665181177403724,1.1415786720066963
RMSSD (ms),106.69791209037056,101.67667182726692,5.02124026310365,4.819436390657273
pNN50 (%),66.28352490421456,64.50381679389314,1.7797081103214225,2.721529602504601
LF/HF (ratio),0.23771585153298366,0.2880523633934154,0.050336511860431726,19.14779571354583
